JobID|CPUTimeRAW|
17890|360|
17890.batch|360|
17890.extern|360|
17891|1|
17891.batch|1|
17891.extern|1|
17892|40|
17892.batch|40|
17892.extern|40|
17893|40|
17893.batch|40|
17893.extern|40|
17894|0|
17894.batch|0|
17894.extern|0|
17895|2|
17895.batch|2|
17895.extern|2|
17896|2|
17896.batch|2|
17896.extern|2|
17897|0|
17897.batch|0|
17897.extern|0|
17898|8|
17898.batch|8|
17898.extern|8|
17899|16280|
17899.batch|16280|
17899.extern|16280|
17900|18480|
17900.batch|18480|
17900.extern|18480|
17901|3|
17901.batch|3|
17901.extern|3|
17902|1640|
17902.batch|1640|
17902.extern|1640|
17903|40|
17903.batch|40|
17903.extern|40|
17904|240|
17904.batch|240|
17904.extern|240|
17905|4|
17905.batch|4|
17905.extern|4|
17906|0|
17906.batch|0|
17906.extern|0|
17907|0|
17907.batch|0|
17907.extern|0|
17908|0|
17908.batch|0|
17908.extern|0|
17909|13|
17909.batch|13|
17909.extern|13|
17910|1|
17910.batch|1|
17910.extern|1|
17911|0|
17911.batch|0|
17911.extern|0|
17912|19|
17912.batch|19|
17912.extern|19|
17913|16880|
17913.batch|16880|
17913.extern|16880|
17914|34040|
17914.batch|34040|
17914.extern|34040|
17915|3|
17915.batch|3|
17915.extern|3|
17916|2960|
17916.batch|2960|
17916.extern|2960|
17917|40|
17917.batch|40|
17917.extern|40|
17918|120|
17918.batch|120|
17918.extern|120|
17919|1|
17919.batch|1|
17919.extern|1|
17920|0|
17920.batch|0|
17920.extern|0|
17921|0|
17921.batch|0|
17921.extern|0|
17922|0|
17922.batch|0|
17922.extern|0|
17923|10|
17923.batch|10|
17923.extern|10|
17924|1|
17924.batch|1|
17924.extern|1|
17927|1|
17927.batch|1|
17927.extern|1|
17928|2|
17928.batch|2|
17928.extern|2|
17929|240|
17929.batch|240|
17929.extern|240|
17930|1880|
17930.batch|1880|
17930.extern|1880|
17931|3|
17931.batch|3|
17931.extern|3|
17932|40|
17932.batch|40|
17932.extern|40|
17933|40|
17933.batch|40|
17933.extern|40|
17934|1840|
17934.batch|1840|
17934.extern|1840|
17935|2|
17935.batch|2|
17935.extern|2|
17936|40|
17936.batch|40|
17936.extern|40|
17937|40|
17937.batch|40|
17937.extern|40|
17938|0|
17938.batch|0|
17938.extern|0|
17939|2|
17939.batch|2|
17939.extern|2|
17940|2|
17940.batch|2|
17940.extern|2|
17941|1|
17941.batch|1|
17941.extern|1|
17942|17|
17942.batch|17|
17942.extern|17|
17943|17160|
17943.batch|17160|
17943.extern|17160|
17944|1800|
17944.batch|1840|
17944.extern|1800|
17947|1200|
17947.batch|1200|
17947.extern|1200|
17948|40|
17948.batch|80|
17948.extern|40|
17955|1|
17955.batch|1|
17955.extern|1|
17956|7|
17956.batch|7|
17956.extern|7|
17957|8680|
17957.batch|8720|
17957.extern|8680|
17969|1|
17969.batch|1|
17969.extern|1|
17970|0|
17970.batch|0|
17970.extern|0|
17971|7|
17971.batch|7|
17971.extern|7|
17972|16000|
17972.batch|16000|
17972.extern|16000|
17973|18480|
17973.batch|18480|
17973.extern|18480|
17974|2|
17974.batch|2|
17974.extern|2|
17975|1560|
17975.batch|1560|
17975.extern|1560|
17976|760|
17976.batch|760|
17976.extern|760|
17977|16160|
17977.batch|16160|
17977.extern|16160|
17978|3|
17978.batch|3|
17978.extern|3|
17979|1520|
17979.batch|1520|
17979.extern|1520|
17980|2840|
17980.batch|2840|
17980.extern|2840|
17981|0|
17981.batch|0|
17981.extern|0|
17982|85|
17982.batch|85|
17982.extern|85|
17983|2|
17983.batch|2|
17983.extern|2|
17984|0|
17984.batch|0|
17984.extern|0|
17985|17|
17985.batch|17|
17985.extern|17|
17986|17440|
17986.batch|17440|
17986.extern|17440|
17987|35960|
17987.batch|35960|
17987.extern|35960|
17988|2|
17988.batch|2|
17988.extern|2|
17989|3040|
17989.batch|3040|
17989.extern|3040|
17990|1160|
17990.batch|1160|
17990.extern|1160|
17991|32920|
17991.batch|32920|
17991.extern|32920|
17992|2|
17992.batch|2|
17992.extern|2|
17993|2680|
17993.batch|2680|
17993.extern|2680|
17994|5720|
17994.batch|5720|
17994.extern|5720|
17995|0|
17995.batch|0|
17995.extern|0|
17996|127|
17996.batch|127|
17996.extern|127|
17997|3|
17997.batch|3|
17997.extern|3|
17998|1|
17998.batch|1|
17998.extern|1|
17999|81|
17999.batch|81|
17999.extern|81|
18000|0|
18012|1|
18012.batch|1|
18012.extern|1|
18013|170|
18013.batch|170|
18013.extern|170|
18014|0|
18030|1|
18030.batch|1|
18030.extern|1|
18031|4|
18031.batch|4|
18031.extern|4|
18032|0|
18034|0|
18036|436600|
18036.batch|436600|
18036.extern|436600|
18037|441600|
18037.batch|441600|
18037.extern|441600|
18038|15|
18038.batch|15|
18038.extern|15|
18039|717560|
18039.batch|717560|
18039.extern|717560|
18040|10960|
18040.batch|10960|
18040.extern|10960|
18041|9160|
18041.batch|9160|
18041.extern|9160|
18042|16|
18042.batch|16|
18042.extern|16|
18043|800|
18043.batch|800|
18043.extern|800|
18044|1480|
18044.batch|1480|
18044.extern|1480|
18045|1|
18045.batch|1|
18045.extern|1|
18046|31|
18046.batch|31|
18046.extern|31|
18047|1|
18047.batch|1|
18047.extern|1|
18048|1|
18048.batch|1|
18048.extern|1|
18049|5|
18049.batch|5|
18049.extern|5|
18050|448920|
18050.batch|448920|
18050.extern|448920|
18051|484720|
18051.batch|484720|
18051.extern|484720|
18052|15|
18052.batch|15|
18052.extern|15|
18053|723760|
18053.batch|723760|
18053.extern|723760|
18054|12440|
18054.batch|12440|
18054.extern|12440|
18055|9360|
18055.batch|9360|
18055.extern|9360|
18056|15|
18056.batch|15|
18056.extern|16|
18057|760|
18057.batch|760|
18057.extern|760|
18058|1520|
18058.batch|1520|
18058.extern|1520|
18059|1|
18059.batch|1|
18059.extern|1|
18060|231|
18060.batch|231|
18060.extern|231|
18061|2|
18061.batch|2|
18061.extern|2|
